date,headline,abstract,snippet,lead_paragraph,web_url,section,subsection,byline,document_type,news_desk,type_of_material,word_count,source,keywords
2023-11-14T10:00:12Z,Do I Need to Worry About Smartphone Radiation?,"Some studies have linked cellphone use with cancer, so we asked some experts to explain the risk.","Some studies have linked cellphone use with cancer, so we asked some experts to explain the risk.",,https://www.nytimes.com/2023/11/14/well/live/cellphone-radiation-effects.html,Well,Live,By Caroline Hopkins,article,Well,News,786,The New York Times,"Radiation, Smartphones, Wireless Communications, Cellular Telephones, Cancer, Brain Cancer, iPhone, Content Type: Service"
2023-11-01T09:02:11Z,"If Trump Wins, His Allies Want Lawyers Who Will Bless a More Radical Agenda",Politically appointed lawyers sometimes frustrated Donald J. Trump’s ambitions. His allies are planning to install more aggressive legal gatekeepers if he regains the White House.,Politically appointed lawyers sometimes frustrated Donald J. Trump’s ambitions. His allies are planning to install more aggressive legal gatekeepers if he regains the White House.,,https://www.nytimes.com/2023/11/01/us/politics/trump-2025-lawyers.html,U.S.,Politics,"By Jonathan Swan, Charlie Savage and Maggie Haberman",article,Politics,News,2709,The New York Times,"Trump, Donald J, Presidential Election of 2024, Right-Wing Extremism and Alt-Right, Legal Profession, Conservatism (US Politics), Federalist Society, Paoletta, Mark, Leo, Leonard A, Vought, Russell T, Miller, Stephen (1985- ), Mitnick, John"
2023-10-20T21:02:09Z,"Flashback: Your Weekly History Quiz, Oct. 22, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/10/20/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-11-03T21:29:58Z,"Flashback: Your Weekly History Quiz, Nov. 4, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/11/03/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-10-13T21:36:24Z,"Flashback: Your Weekly History Quiz, Oct. 15, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/10/13/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-11-11T10:01:47Z,"Sweeping Raids, Giant Camps and Mass Deportations: Inside Trump’s 2025 Immigration Plans","If he regains power, Donald Trump wants not only to revive some of the immigration policies criticized as draconian during his presidency, but expand and toughen them.","If he regains power, Donald Trump wants not only to revive some of the immigration policies criticized as draconian during his presidency, but expand and toughen them.",,https://www.nytimes.com/2023/11/11/us/politics/trump-2025-immigration-agenda.html,U.S.,Politics,"By Charlie Savage, Maggie Haberman and Jonathan Swan",article,Politics,News,2888,The New York Times,"Trump, Donald J, Presidential Election of 2024, Presidential Power (US), Immigration and Emigration, Illegal Immigration, Immigration Detention, Deportation, Family Separation Policy (US Immigration), Asylum, Right of, Border Barriers, Law and Legislation, Miller, Stephen (1985- ), Deferred Action for Childhood Arrivals, United States Politics and Government, United States International Relations, Human Rights and Human Rights Violations"
2023-10-27T21:05:33Z,"Flashback: Your Weekly History Quiz, Oct. 29, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/10/27/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-08-27T00:24:57Z,"Flashback: Your Weekly History Quiz, Aug. 27, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/08/26/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-08-20T00:32:47Z,"Flashback: Your Weekly History Quiz, Aug. 20, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/08/19/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-08-05T20:58:22Z,"Flashback: Your Weekly History Quiz, Aug. 13, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-11-05T10:01:33Z,Cross-Tabs: October 2023 Times/Siena Poll of the 2024 Battlegrounds,Donald Trump leads Joe Biden in five of six key battlegrounds polled by The New York Times and Siena College.,Donald Trump leads Joe Biden in five of six key battlegrounds polled by The New York Times and Siena College.,,https://www.nytimes.com/interactive/2023/11/07/us/elections/times-siena-battlegrounds-registered-voters.html,U.S.,Elections,,interactive,,Interactive Feature,0,The New York Times,New York Times/Siena College Poll
2023-12-04T10:02:03Z,Why a Second Trump Presidency May Be More Radical Than His First,"Donald Trump has long exhibited authoritarian impulses, but his policy operation is now more sophisticated, and the buffers to check him are weaker.","Donald Trump has long exhibited authoritarian impulses, but his policy operation is now more sophisticated, and the buffers to check him are weaker.",,https://www.nytimes.com/2023/12/04/us/politics/trump-2025-overview.html,U.S.,Politics,"By Charlie Savage, Jonathan Swan and Maggie Haberman",article,Politics,News,2431,The New York Times,"Presidential Election of 2024, United States Politics and Government, Democracy (Theory and Philosophy), Conservatism (US Politics), Trump, Donald J, Republican Party"
2023-11-24T01:56:09Z,"Flashback: Your Weekly History Quiz, Nov. 26, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/11/23/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-10-06T20:48:06Z,"Flashback: Your Weekly History Quiz, Oct. 8, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/10/06/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-12-30T02:14:24Z,"Flashback: Your Weekly History Quiz, Dec. 31, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/12/29/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
2023-12-01T22:58:12Z,"Flashback: Your Weekly History Quiz, Dec. 3, 2023",Can you sort 8 historical events?,Can you sort 8 historical events?,,https://www.nytimes.com/interactive/2023/12/01/upshot/flashback.html,The Upshot,,,interactive,,Interactive Feature,0,The New York Times,Content Type: Quiz
